user_id,beer_id,user_rating
17095,34738,4.5
17095,33560,4.5
17095,3558,4.4
17095,20691,4.1
17095,1849,4.0
17095,8468,3.9
17095,12833,3.9
17095,18134,3.8
17095,13547,3.8
17095,7088,3.8
17095,19104,3.8
17095,11391,3.7
17095,2424,3.7
17095,11867,3.7
17095,15227,3.7
17095,29679,3.7
17095,8282,3.7
17095,26511,3.7
17095,32617,3.7
17095,22074,3.7
17095,30884,3.6
17095,8030,3.6
17095,26543,3.5
17095,14027,3.5
17095,11200,3.5
17095,26857,3.5
17095,17195,3.4
17095,24940,3.4
17095,27292,3.3
17095,27855,3.3
17095,5392,3.3
17095,25790,3.3
17095,24990,3.3
17095,3426,3.3
17095,7303,3.3
17095,22657,3.3
17095,13938,3.3
17095,11670,3.3
17095,1788,3.3
17095,19902,3.2
17095,24599,3.2
17095,18448,3.2
17095,20333,3.2
17095,4296,3.2
17095,251,3.2
17095,31722,3.2
17095,14818,3.2
17095,2342,3.2
17095,30793,3.2
17095,14977,3.2
17095,18643,3.2
17095,22291,3.1
17095,7694,3.1
17095,20801,3.1
17095,603,3.0
17095,23614,3.0
17095,28623,3.0
17095,7972,3.0
17095,31121,3.0
17095,18638,2.9
17095,15422,2.9
17095,16120,2.9
17095,3708,2.9
17095,27435,2.9
17095,21143,2.9
17095,702,2.9
17095,1826,2.9
17095,14851,2.9
17095,13613,2.8
17095,21590,2.8
17095,30170,2.8
17095,5491,2.8
17095,23254,2.8
17095,23469,2.7
17095,12661,2.7
17095,17807,2.7
17095,24385,2.7
17095,31005,2.6
17095,3529,2.6
17095,15177,2.6
17095,17603,2.6
17095,30172,2.6
17095,10491,2.6
17095,4122,2.5
17095,33235,2.5
17095,13133,2.5
17095,2686,2.5
17095,27319,2.4
17095,23510,2.3
17095,32649,2.3
17095,5411,2.2
17095,21287,2.1
17095,31756,2.0
17095,10420,1.8
17095,19705,1.7
17095,22701,1.6
17095,18982,1.0
227834,33235,4.6
227834,18134,4.6
227834,34738,4.6
227834,9773,4.4
227834,3601,4.3
227834,26121,4.2
227834,13613,4.2
227834,2564,4.1
227834,10242,4.1
227834,26335,4.1
227834,9201,4.0
227834,21478,4.0
227834,2867,4.0
227834,30805,4.0
227834,14999,4.0
227834,1826,4.0
227834,26469,4.0
227834,7764,4.0
227834,1137,4.0
227834,7088,3.9
227834,15453,3.9
227834,16480,3.9
227834,20333,3.9
227834,8826,3.9
227834,26224,3.9
227834,16180,3.9
227834,8772,3.9
227834,11060,3.9
227834,33251,3.9
227834,17840,3.9
227834,29006,3.9
227834,1193,3.9
227834,13938,3.9
227834,6261,3.9
227834,33810,3.9
227834,33161,3.9
227834,12460,3.9
227834,27225,3.9
227834,2321,3.9
227834,26949,3.9
227834,29671,3.9
227834,355,3.9
227834,28047,3.9
227834,16285,3.9
227834,21059,3.8
227834,32994,3.8
227834,31418,3.8
227834,1310,3.8
227834,14377,3.8
227834,3708,3.8
227834,24182,3.8
227834,1273,3.8
227834,1426,3.8
227834,12357,3.8
227834,19104,3.8
227834,18333,3.8
227834,5491,3.8
227834,32649,3.8
227834,23614,3.8
227834,20691,3.8
227834,12511,3.8
227834,22679,3.8
227834,22232,3.8
227834,21735,3.8
227834,7972,3.8
227834,9272,3.8
227834,11185,3.8
227834,15949,3.8
227834,12429,3.8
227834,9973,3.8
227834,23131,3.8
227834,21793,3.8
227834,24990,3.7
227834,21590,3.7
227834,17267,3.7
227834,34962,3.7
227834,30884,3.7
227834,2807,3.7
227834,21125,3.7
227834,26857,3.7
227834,34564,3.7
227834,2194,3.7
227834,16072,3.7
227834,11670,3.7
227834,3558,3.7
227834,23254,3.7
227834,26361,3.7
227834,783,3.7
227834,29870,3.7
227834,14977,3.7
227834,18455,3.7
227834,12833,3.7
227834,16310,3.7
227834,34677,3.7
227834,7964,3.7
227834,14538,3.7
227834,16852,3.7
227834,24194,3.7
227834,3651,3.7
227834,12533,3.7
227834,5398,3.7
227834,8774,3.7
227834,21018,3.7
227834,33390,3.7
227834,11255,3.7
227834,21047,3.7
227834,1849,3.6
227834,19406,3.6
227834,33142,3.6
227834,3426,3.6
227834,33767,3.6
227834,17355,3.6
227834,24671,3.6
227834,17885,3.6
227834,31005,3.6
227834,15852,3.6
227834,17010,3.6
227834,17256,3.6
227834,3207,3.6
227834,1416,3.6
227834,25881,3.6
227834,9920,3.6
227834,27737,3.6
227834,26543,3.6
227834,21143,3.6
227834,8618,3.6
227834,24482,3.6
227834,2844,3.6
227834,702,3.6
227834,1788,3.6
227834,16931,3.6
227834,6655,3.6
227834,26776,3.6
227834,907,3.6
227834,29229,3.6
227834,27726,3.6
227834,8030,3.5
227834,17191,3.5
227834,30203,3.5
227834,13981,3.5
227834,27203,3.5
227834,15227,3.5
227834,27292,3.5
227834,7694,3.5
227834,3352,3.5
227834,4649,3.5
227834,7194,3.5
227834,17708,3.5
227834,27435,3.5
227834,31722,3.5
227834,2342,3.5
227834,29638,3.5
227834,12036,3.5
227834,1472,3.5
227834,30793,3.5
227834,18077,3.5
227834,24459,3.5
227834,9010,3.5
227834,14737,3.5
227834,30882,3.4
227834,2946,3.4
227834,10504,3.4
227834,18896,3.4
227834,12493,3.4
227834,3713,3.4
227834,5756,3.4
227834,14818,3.4
227834,12320,3.4
227834,31090,3.4
227834,18643,3.4
227834,3312,3.4
227834,27717,3.4
227834,7303,3.3
227834,5509,3.3
227834,25345,3.3
227834,27855,3.3
227834,6933,3.3
227834,16120,3.3
227834,17690,3.3
227834,13450,3.3
227834,15371,3.3
227834,29929,3.3
227834,21828,3.3
227834,25836,3.3
227834,9870,3.2
227834,251,3.2
227834,5411,3.2
227834,33962,3.2
227834,17049,3.2
227834,23505,3.2
227834,19153,3.2
227834,27483,3.2
227834,20586,3.2
227834,578,3.2
227834,4215,3.2
227834,5895,3.2
227834,31084,3.2
227834,10859,3.2
227834,2404,3.2
227834,31998,3.1
227834,28307,3.1
